x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm]
-0.010728836059570312,-0.002652406692504883,3.4919356629137255e-05,-1347.0444556318598,1708.9073693926903,-2.2916770144353658,2175.976406979577,131.30542166604567
-0.008702278137207031,0.0002086162567138672,-3.240192525777452e-05,-1264.87407616906,1724.253801828779,-2.301646066922857,2138.4421590902375,131.87274907399976
-0.014781951904296875,0.0020563602447509766,8.100121318288522e-05,-1155.2781873413487,1632.3989375894587,-2.1407835125162697,1999.8382718807238,122.66250114602491
-0.012993812561035156,0.004410743713378906,3.321246994403282e-05,-1013.3660323182538,1436.6261862137837,-1.6585418433290522,1758.057594734455,95.0293507029575
-0.00011920928955078125,0.00032782554626464844,5.608346143826104e-05,-1040.0024526169266,1486.1462421751585,-1.8757011710106866,1813.9003644719228,107.47297407229952
-0.0045299530029296875,-0.0011622905731201172,2.6403363558191728e-05,-1048.541059898136,1476.5987061989274,-1.751301582754408,1811.015192165044,100.3437021477055
-0.004649162292480469,-0.0018477439880371094,-3.0108710656895354e-05,-1025.2800898665957,1446.1309159529353,-1.6494846560665777,1772.7068848371705,94.50678406215584
-0.010609626770019531,-0.005245208740234375,4.4310212284237593e-05,-972.9255882326848,1340.147000499547,-1.2805890048708486,1656.0711329144992,73.37488405811087
-0.005602836608886719,-0.0034868717193603516,6.696298303809911e-05,-858.1159265750681,1163.4505016087892,-0.7657498840116511,1445.6757973410658,43.878073212811614
-0.011086463928222656,-0.00762939453125,-1.2214633626772553e-05,-737.5641916858222,1007.7227795229898,-0.4780842413857232,1248.801489460808,27.39150943616051
-0.0015497207641601562,0.0015795230865478516,1.3741899964392346e-05,-658.1427795347441,897.8750675659442,-0.35824978400877333,1113.2505014197413,20.526987988046493
-0.012755393981933594,0.004500150680541992,3.544370585184531e-05,-600.6832807155976,807.983853240794,-0.263273722846713,1006.7947730347352,15.086503950569227
-0.0016689300537109375,0.0035762786865234375,1.0377090085889051e-05,-554.4562527045118,726.1765686814281,-0.21341817516912862,913.6449531211015,12.228555272040323
-0.012159347534179688,-5.9604644775390625e-05,-5.426836245714384e-06,-502.21227122007963,648.7334636963823,-0.17367658266999567,820.4024235820865,9.950624252432698
-0.0073909759521484375,0.001996755599975586,2.394753090251278e-05,-393.32368107574734,507.5523562158608,-0.10293860657883158,642.1098593279083,5.899319798375132
-0.005125999450683594,-0.0014007091522216797,4.914956679002991e-05,-428.77051997461416,537.3577913722088,-0.11897886744169756,687.4552090027466,6.819803018397717
-0.009298324584960938,0.0012218952178955078,4.526219107514606e-06,-428.3398600962694,522.0170262917532,-0.11730096051809807,675.253708014557,6.721109303769734
-0.012874603271484375,-0.0011324882507324219,0.00010338827350619972,-429.5978152377384,519.9260205400215,-0.10788516766393648,674.4386300294511,6.187288490927872
-0.0035762786865234375,0.0011920928955078125,2.1129257301799598e-05,-404.5166332520075,488.6614838738961,-0.1104044371491713,634.3655838910194,6.326918905432513
-0.0171661376953125,-0.007659196853637695,1.9326667593855262e-05,-372.53275254880555,449.4255007072575,-0.10492450000024042,583.7448306757052,6.012838354019362
-0.004887580871582031,-0.0012516975402832031,4.1971171433452525e-05,-290.8842275575522,331.6572777774479,-0.06254772542259031,441.14416078962324,3.586125455841905
-0.007867813110351562,0.00095367431640625,-2.251166010314165e-05,-238.66078218815895,265.225665720535,-0.04527557577370708,356.79036060367974,2.5928095837444296
-0.0011920928955078125,0.003069639205932617,3.82037583632755e-05,-207.67917012883473,204.264224441143,-0.03915778575622712,291.294974076308,2.245764773025058
-0.016808509826660156,0.0006556510925292969,8.405263515998129e-05,-173.39203509029736,160.69364210894355,-0.01656544188015901,236.39205800655117,0.9539457667539902
-0.010609626770019531,-0.00035762786865234375,-3.8022184955410765e-05,-147.67611945928306,125.65396259277539,0.0006545463444280021,193.8920085620038,0.0396812537572517
-0.016570091247558594,-0.0022351741790771484,3.192256364692447e-05,-140.97902509550738,117.57224375658618,-0.013535492146331707,183.55972275166724,0.7773556017854855
